,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
154,human,human,3,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",154,75,7,False,75
233,numeric,numeric,5,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",233,75,7,False,75
409,description,description,2,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",409,75,7,False,75
410,human,human,3,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",410,75,7,False,75
193,numeric,numeric,5,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",193,75,7,False,75
329,description,description,2,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",329,75,7,False,75
483,description,description,2,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",483,75,7,False,75
57,location,location,4,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",57,75,7,False,75
221,numeric,numeric,5,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",221,75,7,False,75
270,entity,entity,1,True,True,True,"{2: 19, 5: 15, 0: 3, 3: 15, 1: 16, 4: 7}","[4607, 292, 1796, 885, 942, 4355, 1030, 536, 323, 4312, 5205, 1634, 1589, 1607, 2322, 2528, 5137, 1728, 983, 145, 106, 683, 510, 3620, 3627, 277, 3049, 3798, 3410, 1119, 4485, 99, 3245, 2691, 3191, 4738, 109, 5060, 1533, 4346, 1553, 2848, 2757, 1511, 827, 3737, 474, 2224, 1488, 4034, 433, 1678, 1231, 4291, 880, 1309, 930, 4398, 4906, 5067, 2227, 1687, 385, 1299, 4686, 1446, 1016, 4010, 2302, 4652, 1920, 4016, 891, 390, 4814]",270,75,7,False,75
